# Randomly generate gene expression data
ENSEMBL_Gene_ID	fold_changes	adjusted_p_values	gene_length	chromosome
ENSG0000000001	0.581476285290097	0.2345	49604	Chr4
ENSG0000000002	4.694423176185977	0.3833	61959	Chr11
ENSG0000000003	-3.111228354653986	0.2084	14449	Chr22
ENSG0000000004	0.3867430845209091	0.582	8645	Chr19
ENSG0000000005	1.1287038036037593	0.0447	64968	Chr11
ENSG0000000006	7.282472973481284	0.7081	79037	Chr1
ENSG0000000007	7.576745020251037	0.8168	67571	Chr5
ENSG0000000008	-5.006100790584006	0.3492	3570	Chr3
ENSG0000000009	-4.331181232076856	0.2273	41601	Chr10
ENSG0000000010	-5.400261693484515	0.2927	4764	Chr7
ENSG0000000011	2.1087854968073145	0.2876	36757	Chr12
ENSG0000000012	-1.3584621022698908	0.3964	20210	Chr11
ENSG0000000013	-3.85851323822519	0.0781	65434	Chr8
ENSG0000000014	-0.41742156284406906	0.6111	20577	Chr2
ENSG0000000015	-2.2027337778964906	0.3545	83686	Chr9
ENSG0000000016	1.6413589223830778	0.7177	21764	Chr7
ENSG0000000017	2.6458028359789347	0.8476	58340	Chr6
ENSG0000000018	-0.5413802528197083	0.1477	16666	Chr5
ENSG0000000019	0.19915318394180467	0.2768	31666	Chr17
ENSG0000000020	1.2932802721410637	0.0301	68195	Chr9
ENSG0000000021	1.3739826881042785	0.5388	56951	Chr21
ENSG0000000022	2.18149275888684	0.8471	23393	Chr5
ENSG0000000023	-0.501679822387541	0.1391	25094	Chr16
ENSG0000000024	7.827651885905515	0.6223	2343	Chr23
ENSG0000000025	-2.641282670201524	0.9919	1166	Chr14
ENSG0000000026	1.685495504401756	0.7661	774	Chr2
ENSG0000000027	3.054900096913493	0.3165	142439	Chr5
ENSG0000000028	-4.784446226645606	0.2507	6890	Chr21
ENSG0000000029	1.098176137950306	0.0902	6264	Chr4
ENSG0000000030	1.0431213921211357	0.9494	41216	Chr10
ENSG0000000031	0.05177767042116797	0.8427	762	Chr22
ENSG0000000032	1.3660346114434172	0.2355	10021	Chr9
ENSG0000000033	-6.923030465094532	0.5859	72100	Chr7
ENSG0000000034	2.094602411696263	0.998	102358	Chr20
ENSG0000000035	0.7813373150805993	0.6227	12469	Chr16
ENSG0000000036	-5.241904786680175	0.5161	3641	Chr14
ENSG0000000037	1.1721631247546964	0.5092	27449	Chr18
ENSG0000000038	-3.544555675919198	0.8329	80852	Chr21
ENSG0000000039	1.3600268891487268	0.3325	13349	Chr13
ENSG0000000040	-3.0633269844384254	0.2782	104227	Chr19
ENSG0000000041	0.5077743765470437	0.0315	9837	Chr19
ENSG0000000042	-14.202584734052458	0.7769	7486	Chr4
ENSG0000000043	-6.158516919450947	0.0539	12731	Chr10
ENSG0000000044	-0.6862048279468353	0.9503	38975	Chr19
ENSG0000000045	3.6117970506590202	0.1234	103403	Chr1
ENSG0000000046	3.5521648470700846	0.9434	15640	Chr11
ENSG0000000047	2.948128041510922	0.5468	29054	Chr19
ENSG0000000048	6.3854937166690355	0.6133	37734	Chr9
ENSG0000000049	2.0726322578520375	0.6777	75054	Chr7
ENSG0000000050	1.351621922149391	0.564	24150	Chr2
ENSG0000000051	5.390922561958076	0.8685	52645	Chr10
ENSG0000000052	-0.2988237733908231	0.4317	10343	Chr19
ENSG0000000053	5.54594166660843	0.7816	126502	Chr18
ENSG0000000054	-2.977966346116221	0.9668	28481	Chr11
ENSG0000000055	12.140125639248193	0.4905	38513	Chr13
ENSG0000000056	-3.905593441257187	0.3304	67973	Chr1
ENSG0000000057	-5.126796442229457	0.9376	34694	Chr23
ENSG0000000058	-0.09618686569380903	0.9675	18454	Chr1
ENSG0000000059	6.429355519329734	0.6414	4369	Chr17
ENSG0000000060	1.856429845599675	0.1757	29159	Chr10
ENSG0000000061	2.589975342155353	0.9097	65665	Chr7
ENSG0000000062	-3.396061092296374	0.2772	50781	Chr17
ENSG0000000063	1.954293897007601	0.9261	18788	Chr15
ENSG0000000064	-3.349128740239819	0.1801	25026	Chr6
ENSG0000000065	-6.07702943007924	0.0602	49506	Chr14
ENSG0000000066	7.332141614763573	0.8334	67491	Chr10
ENSG0000000067	-1.9345760320413097	0.9304	78007	Chr9
