# Randomly generate gene expression data
ENSEMBL_Gene_ID	fold_change	adjusted_p_value	gene_length	chromosome
ENSG0000000001	0.6572860187595058	0.614	5309	Chr1
ENSG0000000002	1.9795076833171166	0.6143	4715	Chr15
ENSG0000000003	0.8321264772076066	0.5059	59776	Chr19
ENSG0000000004	7.563976963219153	0.6449	93807	Chr16
ENSG0000000005	0.4432891367898901	0.2473	41666	Chr12
ENSG0000000006	2.0600955574538413	0.8104	10041	Chr5
ENSG0000000007	0.2871403877710397	0.9229	16779	Chr3
ENSG0000000008	6.6357030536101895	0.7239	33506	Chr18
ENSG0000000009	-3.432772247818164	0.5122	32207	Chr19
ENSG0000000010	-1.0203082994483845	0.784	53864	Chr16
ENSG0000000011	2.9354208063268628	0.4468	41971	Chr6
ENSG0000000012	-1.9136987347814394	0.4489	38055	Chr11
ENSG0000000013	-0.8314062470271719	0.3607	30386	Chr13
ENSG0000000014	4.080873218313488	0.9341	52924	Chr9
ENSG0000000015	2.593537403696237	0.785	83895	Chr18
ENSG0000000016	3.3294336329061833	0.3495	57207	Chr19
ENSG0000000017	0.46113247457898143	0.2949	110745	Chr10
ENSG0000000018	-2.137691628246992	0.5377	69783	Chr15
ENSG0000000019	0.6861658482138306	0.5686	67398	Chr5
ENSG0000000020	1.511025143692368	0.552	20630	Chr2
ENSG0000000021	7.4205231090367025	0.7812	25089	Chr12
ENSG0000000022	1.8430882577471053	0.0234	71599	Chr7
ENSG0000000023	1.308778865905419	0.9851	47653	Chr6
ENSG0000000024	-2.4728017834005693	0.662	37709	Chr3
ENSG0000000025	-6.71554333029627	0.5014	92225	Chr22
ENSG0000000026	-5.266968551963483	0.29	48002	Chr9
ENSG0000000027	8.66264482216771	0.4961	69631	Chr3
ENSG0000000028	-7.099346876334024	0.5583	5566	Chr12
ENSG0000000029	0.13821631255000616	0.3266	20945	Chr10
ENSG0000000030	-2.980563294710874	0.0788	9911	Chr21
ENSG0000000031	4.721834240829915	0.777	51599	Chr23
ENSG0000000032	-1.8535087528184688	0.7651	22750	Chr15
ENSG0000000033	3.615861745340254	0.0073	39546	Chr15
ENSG0000000034	-0.27988976359521056	0.3934	44946	Chr20
ENSG0000000035	-1.5370859248103326	0.6428	48764	Chr8
ENSG0000000036	2.972301240304414	0.3474	71552	Chr9
ENSG0000000037	-3.9778405056509576	0.2019	3421	Chr16
ENSG0000000038	-0.0783383432439194	0.5309	64419	Chr12
ENSG0000000039	5.293766348270138	0.4723	8024	Chr23
ENSG0000000040	1.3100911323662654	0.8634	36811	Chr18
ENSG0000000041	-1.3113428591443692	0.0246	36251	Chr11
ENSG0000000042	-5.094861386020738	0.6632	41413	Chr8
ENSG0000000043	6.503752097425526	0.1008	38350	Chr9
ENSG0000000044	1.1754043420091171	0.398	23431	Chr5
ENSG0000000045	1.0312091868684656	0.0465	22517	Chr22
ENSG0000000046	0.03949629967193341	0.9286	3646	Chr20
ENSG0000000047	4.819410659572664	0.6614	59919	Chr5
ENSG0000000048	3.5043222597420187	0.6308	45499	Chr10
ENSG0000000049	0.33862004642199045	0.9663	25044	Chr10
ENSG0000000050	-4.425392648972073	0.5329	48875	Chr2
ENSG0000000051	-1.1841862514556172	0.9572	16959	Chr1
ENSG0000000052	4.516330091991562	0.7366	66982	Chr12
ENSG0000000053	4.514720750698392	0.0192	22870	Chr20
ENSG0000000054	0.1650659351289565	0.9226	111820	Chr10
ENSG0000000055	1.1292545804607383	0.3695	21720	Chr16
ENSG0000000056	7.822002005613966	0.7194	48841	Chr5
ENSG0000000057	0.015368042998271493	0.5897	34655	Chr7
ENSG0000000058	-7.284608350030227	0.6381	109289	Chr9
ENSG0000000059	1.3025877284494023	0.7911	55215	Chr19
ENSG0000000060	-5.6079708520066145	0.4471	36656	Chr3
ENSG0000000061	0.438872421902488	0.003	90264	Chr17
ENSG0000000062	1.2236458386511087	0.6113	3404	Chr2
ENSG0000000063	2.081839427023941	0.5952	40113	Chr18
ENSG0000000064	1.434181224231301	0.9464	84206	Chr14
ENSG0000000065	5.9205439659322945	0.5688	1143	Chr11
ENSG0000000066	-0.3711008186862205	0.7508	31175	Chr2
ENSG0000000067	3.2217642438226797	0.7038	95040	Chr14
ENSG0000000068	-2.8157683456041855	0.6022	22777	Chr13
ENSG0000000069	3.8332369200326752	0.8065	55052	Chr7
ENSG0000000070	-1.7860144096400365	0.6328	28352	Chr10
ENSG0000000071	-6.5243151537882795	0.7463	13227	Chr14
ENSG0000000072	7.784123252397129	0.9615	22324	Chr23
ENSG0000000073	2.516721529593988	0.1594	144518	Chr13
ENSG0000000074	-8.687396572914185	0.8914	95261	Chr17
ENSG0000000075	9.05082727402482	0.6103	38132	Chr19
ENSG0000000076	-0.042434613181426634	0.6887	43218	Chr6
ENSG0000000077	-9.310120878719301	0.7669	55387	Chr2
ENSG0000000078	-2.3527367945409075	0.7561	84517	Chr12
ENSG0000000079	4.767907745228136	0.9668	50881	Chr21
ENSG0000000080	-7.54231419870402	0.9202	106407	Chr11
ENSG0000000081	8.986111115776348	0.3963	77953	Chr16
ENSG0000000082	-1.5836668758320473	0.4252	33458	Chr16
ENSG0000000083	3.268675421343194	0.1632	12079	Chr13
ENSG0000000084	3.145575377533359	0.4387	14184	Chr14
ENSG0000000085	-7.622665795236489	0.7464	41505	Chr10
ENSG0000000086	6.172955658151674	0.8887	83347	Chr11
ENSG0000000087	6.673135439289829	0.5511	11868	Chr2
ENSG0000000088	-1.4136078629086513	0.4243	88838	Chr5
ENSG0000000089	1.1629638003365719	0.6511	27214	Chr9
ENSG0000000090	5.713304920094544	0.9174	2542	Chr16
ENSG0000000091	-5.459505107682039	0.816	27720	Chr1
